question_id,sample_count,whole_mean_similarity_mean,sentence_mean_best_similarity_mean,duration_sec_mean,word_count_mean,wpm_mean,filler_count_mean,pause_count_mean,filler_rate_per_100_words_mean,pause_rate_per_minute_mean
DS_E01,2,0.5556,0.5556,19.53,35.5,109.51,0.0,0.0,0.0,0.0
DS_E02,4,0.3784,0.3784,12.5875,24.5,115.7825,0.0,0.5,0.0,1.9922
DS_E03,3,0.7271,0.746,19.62,38.3333,117.7533,0.0,1.0,0.0,3.0234
DS_E04,6,0.5003,0.5079,10.08,22.0,132.0333,0.0,0.3333,0.0,2.4929
DS_H02,1,0.3927,0.3927,19.74,29.0,88.15,0.0,3.0,0.0,9.1185
DS_H03,3,0.4209,0.4544,16.64,29.0,105.0167,0.0,0.3333,0.0,1.0787
DS_H04,2,0.3116,0.3358,16.17,30.0,113.235,0.0,1.0,0.0,3.9287
DS_M01,3,0.3715,0.5187,23.8,41.6667,102.9967,0.0,2.0,0.0,4.9111
DS_M02,3,0.4374,0.5067,21.72,40.6667,113.12,0.0,0.3333,0.0,0.7645
DS_M03,3,0.5828,0.6985,23.7467,37.0,93.8367,0.0,3.0,0.0,7.1454
DS_M04,3,0.2858,0.3705,13.7533,22.3333,97.68,0.6667,1.0,2.8985,4.1245
